k,b,k_conf,b_conf,Noise intensity
-1.249292,0.692243,0.047125,0.136108,0.761241
-1.236104,0.638407,0.05111,0.147616,0.825606
-1.283303,0.777186,0.050142,0.14482,0.809972
-1.259861,0.721596,0.051706,0.149338,0.835239
-1.247576,0.720978,0.048838,0.141055,0.788912
-1.271126,0.663551,0.047461,0.137076,0.76666
-1.211644,0.653578,0.050943,0.147134,0.822913
-1.273964,0.74545,0.049068,0.141718,0.79262
-1.224129,0.660533,0.050581,0.146087,0.817057
-1.263972,0.77997,0.049037,0.141628,0.792118
-1.235437,0.686754,0.05184,0.149724,0.837398
-1.259432,0.705512,0.050057,0.144574,0.808591
-1.212899,0.642247,0.047657,0.137643,0.769831
-1.218437,0.599786,0.04988,0.144063,0.805736
-1.262893,0.751916,0.050023,0.144476,0.808046
-1.283529,0.815739,0.047847,0.138191,0.772894
-1.254461,0.770744,0.048979,0.141462,0.791189
-1.238894,0.652232,0.049969,0.144321,0.807178
-1.261841,0.740755,0.046918,0.13551,0.757896
-1.258799,0.699314,0.049298,0.142381,0.796331
-1.240953,0.662227,0.049204,0.14211,0.794813
-1.216977,0.642725,0.047515,0.137231,0.767526
-1.244081,0.704975,0.050183,0.144939,0.810634
-1.280039,0.784888,0.047811,0.138087,0.77231
-1.226852,0.634055,0.048371,0.139706,0.781366
-1.245595,0.725906,0.046846,0.135301,0.756728
-1.245952,0.65999,0.050465,0.145752,0.815184
-1.263373,0.784231,0.047829,0.138141,0.772613
-1.294503,0.834941,0.050332,0.145368,0.813037
-1.261246,0.700407,0.048091,0.138897,0.776844
-1.224964,0.711397,0.048628,0.140446,0.785505
-1.312728,0.829049,0.048128,0.139004,0.777439
-1.271122,0.694562,0.047419,0.136956,0.765988
-1.254887,0.727333,0.050858,0.146887,0.82153
-1.300714,0.775201,0.049893,0.144101,0.805947
-1.242846,0.618715,0.048369,0.1397,0.781333
-1.250183,0.634344,0.049244,0.142227,0.795465
-1.232702,0.646646,0.049655,0.143414,0.802106
-1.26648,0.69884,0.050637,0.146251,0.817971
-1.189003,0.509531,0.049482,0.142913,0.799304
-1.266321,0.746939,0.04944,0.142793,0.798631
-1.231996,0.651501,0.050949,0.147151,0.823004
-1.260696,0.739155,0.048924,0.141301,0.790287
-1.251857,0.657218,0.048915,0.141276,0.790148
-1.209325,0.592577,0.048517,0.140127,0.783724
-1.264506,0.734921,0.047672,0.137686,0.770071
-1.245861,0.665672,0.048389,0.139758,0.781659
-1.249417,0.667691,0.046802,0.135174,0.756022
-1.227588,0.680692,0.048555,0.140237,0.784337
-1.24986,0.735865,0.04728,0.136554,0.763739
-1.200733,0.478539,0.047185,0.13628,0.762208
-1.273565,0.756822,0.04971,0.143573,0.802997
-1.268962,0.80116,0.053268,0.153847,0.860457
-1.2701,0.662569,0.051215,0.147919,0.827302
-1.196985,0.593735,0.049208,0.142123,0.794883
-1.284028,0.816953,0.048955,0.14139,0.790786
-1.233276,0.661777,0.051888,0.149864,0.838179
-1.257553,0.694468,0.04997,0.144324,0.807198
-1.230573,0.611124,0.048214,0.139252,0.778831
-1.275391,0.765038,0.048773,0.140865,0.787848
-1.230318,0.586506,0.050746,0.146566,0.819733
-1.241048,0.697236,0.049165,0.141997,0.794183
-1.242148,0.657173,0.05043,0.145653,0.814628
-1.23808,0.62416,0.050957,0.147173,0.823129
-1.239125,0.687444,0.051034,0.147396,0.824379
-1.230497,0.703813,0.050758,0.146599,0.819919
-1.243718,0.659275,0.046487,0.134264,0.750931
-1.252489,0.732147,0.048758,0.140821,0.787606
-1.254644,0.726103,0.048935,0.141332,0.790463
-1.231877,0.685199,0.050014,0.14445,0.807899
-1.255006,0.755823,0.050257,0.145152,0.811827
-1.256505,0.72325,0.047886,0.138305,0.773534
-1.223909,0.660391,0.051729,0.149403,0.835602
-1.249108,0.700591,0.048016,0.138679,0.775621
-1.280972,0.691631,0.050907,0.147029,0.822323
-1.283039,0.753895,0.04997,0.144324,0.807196
-1.221895,0.592827,0.051975,0.150113,0.839573
-1.268463,0.742796,0.048484,0.140031,0.783183
-1.300668,0.830117,0.047595,0.137463,0.768825
-1.241986,0.666952,0.04693,0.135542,0.75808
-1.268636,0.786942,0.048014,0.138674,0.775594
-1.230046,0.672557,0.049267,0.142292,0.795828
-1.278664,0.788233,0.050918,0.147061,0.822504
-1.245193,0.699133,0.050647,0.146279,0.818132
-1.281599,0.796457,0.0493,0.142388,0.796369
-1.266313,0.70656,0.047814,0.138097,0.772367
-1.251184,0.734108,0.049021,0.141581,0.791853
-1.249298,0.677512,0.048614,0.140408,0.785293
-1.245549,0.671535,0.050632,0.146235,0.817885
-1.256037,0.71898,0.04874,0.14077,0.787315
-1.2493,0.73431,0.047023,0.135812,0.759588
-1.245484,0.695706,0.053326,0.154015,0.861394
-1.244373,0.674153,0.049144,0.141937,0.793847
-1.301284,0.849976,0.048599,0.140362,0.785038
-1.229948,0.681455,0.04985,0.143975,0.805246
-1.245474,0.651421,0.048221,0.139271,0.778936
-1.262747,0.771816,0.048092,0.138899,0.776853
-1.257059,0.699823,0.049275,0.142315,0.795956
-1.216212,0.638572,0.049196,0.142087,0.794682
-1.241157,0.673154,0.04936,0.142563,0.797344
